Time [s],pos_chart_series_1,pos_chart_series_2,sway_chart_series_1,u_chart_series_1
3.3100,0.0000,0.0000,0.0000,0.0000
3.3260,0.0000,0.0000,0.0000,0.0000
3.3420,0.0000,0.0000,0.0000,0.0000
3.3590,0.0000,0.0000,0.0000,0.0000
3.3750,0.0000,0.0000,0.0000,0.0000
3.3920,0.0000,0.0000,0.0000,0.0000
3.4080,0.0000,0.0000,0.0000,0.0000
3.4250,0.0000,0.0000,0.0000,0.0000
3.4410,0.0000,0.0000,0.0000,0.0000
3.4580,0.0000,0.0000,0.0000,0.0000
3.4750,0.0000,0.0000,0.0000,0.0000
3.4920,0.0000,0.0000,0.0000,0.0000
3.5090,0.0000,0.0000,0.0000,0.0000
3.5250,0.3716,0.0002,-0.0128,2.9724
3.5410,0.3716,0.0006,-0.0372,2.7665
3.5580,0.3742,0.0011,-0.0753,2.5927
3.5750,0.3769,0.0019,-0.1244,2.4155
3.5910,0.3791,0.0027,-0.1793,2.2450
3.6070,0.3809,0.0036,-0.2420,2.0927
3.6230,0.3853,0.0047,-0.3117,1.9709
3.6390,0.3853,0.0058,-0.3876,1.8208
3.6550,0.3880,0.0070,-0.4689,1.7018
3.6710,0.3880,0.0084,-0.5547,1.5694
3.6870,0.3880,0.0098,-0.6443,1.4462
3.7030,0.3809,0.0112,-0.7367,1.2749
3.7200,0.3756,0.0128,-0.8372,1.1304
3.7370,0.3662,0.0145,-0.9389,0.9575
3.7540,0.3618,0.0162,-1.0409,0.8378
3.7710,0.3596,0.0179,-1.1426,0.7464
3.7870,0.3520,0.0196,-1.2372,0.6210
3.8040,0.3467,0.0213,-1.3359,0.5294
3.8210,0.3364,0.0231,-1.4320,0.4031
3.8370,0.3364,0.0248,-1.5197,0.3703
3.8530,0.3249,0.0265,-1.6040,0.2533
3.8690,0.3129,0.0282,-1.6844,0.1433
3.8850,0.3022,0.0299,-1.7603,0.0541
3.9010,0.2849,0.0315,-1.8312,-0.0796
3.9180,0.2427,0.0332,-1.8991,-0.4005
3.9350,0.2164,0.0349,-1.9588,-0.5670
3.9510,0.1591,0.0364,-2.0060,-0.9666
3.9680,0.1253,0.0379,-2.0452,-1.1492
3.9850,0.0862,0.0393,-2.0724,-1.3527
4.0010,0.0022,0.0405,-2.0852,-1.8963
4.0180,-0.0924,0.0417,-2.0817,-2.4909
4.0350,-0.1436,0.0426,-2.0604,-2.6792
4.0510,-0.1436,0.0433,-2.0259,-2.4396
4.0680,-0.1947,0.0439,-1.9724,-2.6355
4.0840,-0.2427,0.0443,-1.9067,-2.7745
4.1000,-0.3556,0.0444,-1.8233,-3.4345
4.1170,-0.4449,0.0444,-1.7131,-3.8573
4.1330,-0.5169,0.0441,-1.5899,-4.0869
4.1490,-0.5169,0.0436,-1.4491,-3.7428
4.1660,-0.5458,0.0428,-1.2807,-3.6504
4.1820,-0.5693,0.0418,-1.1069,-3.4972
4.1990,-0.6516,0.0406,-0.9038,-3.8444
4.2160,-0.7093,0.0391,-0.6824,-3.9472
4.2320,-0.7391,0.0375,-0.4594,-3.8170
4.2490,-0.7933,0.0356,-0.2059,-3.9154
4.2650,-0.8129,0.0336,0.0454,-3.7048
4.2820,-0.8382,0.0312,0.3257,-3.5803
4.2990,-0.8516,0.0286,0.6173,-3.3459
4.3160,-0.8778,0.0259,0.9188,-3.2336
4.3320,-0.8778,0.0231,1.2090,-2.9224
4.3490,-0.8907,0.0201,1.5232,-2.7612
4.3650,-0.9027,0.0171,1.8226,-2.5878
4.3810,-0.9284,0.0139,2.1246,-2.5611
4.3970,-0.9529,0.0107,2.4287,-2.5302
4.4140,-0.9916,0.0070,2.7539,-2.6202
4.4300,-1.0027,0.0035,3.0604,-2.4703
4.4470,-1.0249,-0.0004,3.3859,-2.4436
4.4640,-1.0369,-0.0044,3.7099,-2.3257
4.4800,-1.0471,-0.0084,4.0120,-2.2088
4.4960,-1.0569,-0.0124,4.3105,-2.1190
4.5120,-1.0640,-0.0165,4.6043,-2.0206
4.5280,-1.0920,-0.0207,4.8932,-2.1028
4.5450,-1.1116,-0.0254,5.1944,-2.1185
4.5620,-1.1187,-0.0301,5.4889,-2.0273
4.5790,-1.1369,-0.0350,5.7760,-2.0392
4.5950,-1.1498,-0.0397,6.0389,-2.0153
4.6110,-1.1769,-0.0445,6.2946,-2.1260
4.6270,-1.1876,-0.0494,6.5424,-2.1043
4.6430,-1.2058,-0.0545,6.7823,-2.1513
4.6590,-1.2129,-0.0596,7.0136,-2.1129
4.6750,-1.2200,-0.0649,7.2360,-2.0838
4.6910,-1.2364,-0.0703,7.4492,-2.1380
4.7070,-1.2440,-0.0759,7.6530,-2.1239
4.7230,-1.2564,-0.0815,7.8472,-2.1562
4.7390,-1.2627,-0.0873,8.0315,-2.1429
4.7550,-1.2724,-0.0932,8.2057,-2.1651
4.7720,-1.2733,-0.0996,8.3793,-2.1207
4.7890,-1.2747,-0.1061,8.5407,-2.0821
4.8050,-1.2760,-0.1124,8.6816,-2.0529
4.8220,-1.2782,-0.1191,8.8188,-2.0449
4.8380,-1.2782,-0.1256,8.9364,-2.0201
4.8550,-1.2782,-0.1327,9.0484,-2.0077
4.8720,-1.2782,-0.1398,9.1473,-1.9973
4.8890,-1.2769,-0.1471,9.2330,-1.9827
4.9050,-1.2747,-0.1541,9.3019,-1.9674
4.9220,-1.2769,-0.1616,9.3620,-1.9966
4.9390,-1.2831,-0.1693,9.4094,-2.0577
4.9550,-1.2836,-0.1766,9.4428,-2.0727
4.9710,-1.2844,-0.1840,9.4652,-2.0965
4.9870,-1.2849,-0.1915,9.4769,-2.1186
5.0030,-1.2849,-0.1991,9.4779,-2.1388
5.0190,-1.2849,-0.2068,9.4687,-2.1605
5.0350,-1.2844,-0.2146,9.4495,-2.1798
5.0510,-1.2760,-0.2225,9.4202,-2.1362
5.0680,-1.2733,-0.2310,9.3780,-2.1440
5.0850,-1.2716,-0.2397,9.3250,-2.1596
5.1010,-1.2716,-0.2479,9.2660,-2.1902
5.1170,-1.2733,-0.2562,9.1984,-2.2350
5.1330,-1.2756,-0.2646,9.1227,-2.2814
5.1490,-1.2782,-0.2731,9.0392,-2.3290
5.1660,-1.2782,-0.2822,8.9421,-2.3526
5.1820,-1.2769,-0.2909,8.8439,-2.3631
5.1980,-1.2622,-0.2997,8.7385,-2.2673
5.2150,-1.2476,-0.3091,8.6185,-2.1778
5.2310,-1.2422,-0.3180,8.4987,-2.1688
5.2480,-1.2378,-0.3276,8.3641,-2.1671
5.2640,-1.2204,-0.3367,8.2308,-2.0617
5.2800,-1.2080,-0.3458,8.0912,-2.0019
5.2960,-1.1916,-0.3549,7.9452,-1.9133
5.3120,-1.1844,-0.3641,7.7931,-1.9043
5.3280,-1.1609,-0.3733,7.6349,-1.7632
5.3440,-1.1609,-0.3825,7.4711,-1.8188
5.3610,-1.1609,-0.3924,7.2913,-1.8691
5.3770,-1.1462,-0.4017,7.1173,-1.7979
5.3940,-1.0636,-0.4115,6.9243,-1.1844
5.4100,-1.0636,-0.4208,6.7367,-1.2763
5.4260,-1.0413,-0.4300,6.5430,-1.1786
5.4430,-1.0227,-0.4398,6.3306,-1.1140
5.4590,-1.0116,-0.4490,6.1253,-1.1162
5.4750,-0.9991,-0.4581,5.9153,-1.1011
5.4920,-0.9836,-0.4678,5.6868,-1.0597
5.5090,-0.9480,-0.4774,5.4527,-0.8623
5.5250,-0.9480,-0.4864,5.2286,-0.9607
5.5410,-0.9329,-0.4953,5.0010,-0.9236
5.5570,-0.8444,-0.5042,4.7679,-0.2992
5.5740,-0.8316,-0.5135,4.5143,-0.3189
5.5900,-0.7884,-0.5221,4.2704,-0.0992
5.6070,-0.7711,-0.5312,4.0056,-0.0911
5.6230,-0.7356,-0.5396,3.7516,0.0581
5.6400,-0.7133,-0.5484,3.4766,0.1012
5.6570,-0.6524,-0.5570,3.1955,0.4462
5.6730,-0.6147,-0.5650,2.9257,0.5848
5.6890,-0.5396,-0.5727,2.6496,1.0256
5.7050,-0.5031,-0.5803,2.3674,1.1301
5.7220,-0.4258,-0.5881,2.0589,1.5578
5.7390,-0.3867,-0.5957,1.7423,1.6398
5.7560,-0.3116,-0.6030,1.4166,2.0073
5.7720,-0.2760,-0.6096,1.1030,2.0350
5.7880,-0.2027,-0.6159,0.7817,2.3825
5.8050,-0.1644,-0.6224,0.4317,2.4288
5.8210,-0.0902,-0.6281,0.0946,2.7462
5.8380,-0.0573,-0.6339,-0.2717,2.7326
5.8550,-0.0311,-0.6394,-0.6447,2.6520
5.8710,0.0080,-0.6443,-1.0008,2.6852
5.8880,0.0533,-0.6492,-1.3846,2.7891
5.9040,0.0889,-0.6535,-1.7496,2.7944
5.9200,0.1200,-0.6575,-2.1175,2.7877
5.9370,0.1822,-0.6615,-2.5124,3.0361
5.9540,0.2298,-0.6650,-2.9107,3.1370
5.9710,0.2538,-0.6683,-3.3110,3.0486
5.9880,0.2791,-0.6712,-3.7120,2.9839
6.0050,0.3093,-0.6739,-4.1129,2.9703
6.0220,0.3973,-0.6761,-4.5147,3.4274
6.0380,0.4213,-0.6779,-4.8922,3.3466
6.0540,0.4742,-0.6794,-5.2692,3.5286
6.0700,0.4742,-0.6806,-5.6437,3.2820
6.0870,0.5244,-0.6815,-6.0392,3.4613
6.1040,0.5333,-0.6820,-6.4307,3.2872
6.1200,0.6031,-0.6822,-6.7958,3.6212
6.1370,0.6298,-0.6821,-7.1796,3.6122
6.1540,0.7062,-0.6816,-7.5602,3.9922
6.1700,0.7556,-0.6807,-7.9151,4.1359
