Time [s],pos_x_chart_series_1,pos_x_chart_series_2,pos_y_chart_series_1,pos_y_chart_series_2,u_chart_series_1,u_chart_series_2,status_color
0.8850,-0.0218,-0.0005,0.2116,0.0045,-0.2057,1.9960,100.0000
0.9010,-0.0222,-0.0005,0.2111,0.0052,-0.2087,1.9774,100.0000
0.9170,-0.0222,-0.0006,0.2107,0.0060,-0.2072,1.9587,100.0000
0.9330,-0.0222,-0.0007,0.2107,0.0069,-0.2057,1.9442,100.0000
0.9500,-0.0222,-0.0008,0.2107,0.0079,-0.2049,1.9360,100.0000
0.9670,-0.0222,-0.0009,0.2107,0.0089,-0.2026,1.9141,100.0000
0.9840,-0.0222,-0.0010,0.2107,0.0099,-0.2009,1.8984,100.0000
1.0000,-0.0222,-0.0011,0.2107,0.0110,-0.1985,1.8749,100.0000
1.0170,-0.0222,-0.0012,0.2107,0.0121,-0.1985,1.8754,100.0000
1.0340,-0.0222,-0.0014,0.2107,0.0133,-0.1961,1.8520,100.0000
1.0500,-0.0222,-0.0015,0.2107,0.0144,-0.1935,1.8275,100.0000
1.0660,-0.0222,-0.0016,0.2107,0.0156,-0.1928,1.8212,100.0000
1.0820,-0.0222,-0.0017,0.2107,0.0168,-0.1913,1.8062,100.0000
1.0990,-0.0222,-0.0019,0.2107,0.0180,-0.1906,1.7999,100.0000
1.1150,-0.0222,-0.0020,0.2107,0.0193,-0.1870,1.7658,100.0000
1.1320,-0.0222,-0.0021,0.2107,0.0206,-0.1874,1.7693,100.0000
1.1490,-0.0222,-0.0023,0.2107,0.0219,-0.1847,1.7444,100.0000
1.1660,-0.0222,-0.0024,0.2107,0.0233,-0.1831,1.7285,100.0000
1.1820,-0.0222,-0.0025,0.2107,0.0246,-0.1803,1.7026,100.0000
1.1980,-0.0222,-0.0027,0.2107,0.0259,-0.1798,1.6977,100.0000
1.2140,-0.0222,-0.0028,0.2107,0.0273,-0.1783,1.6829,100.0000
1.2300,-0.0222,-0.0030,0.2107,0.0286,-0.1767,1.6681,100.0000
1.2470,-0.0222,-0.0031,0.2107,0.0300,-0.1762,1.6632,100.0000
1.2640,-0.0222,-0.0033,0.2107,0.0315,-0.1735,1.6377,100.0000
1.2800,-0.0222,-0.0034,0.2107,0.0328,-0.1707,1.6115,100.0000
1.2970,-0.0222,-0.0036,0.2107,0.0343,-0.1714,1.6176,100.0000
1.3140,-0.0222,-0.0037,0.2107,0.0358,-0.1687,1.5921,100.0000
1.3310,0.6539,-0.0038,-0.4067,0.0371,6.5940,-4.5967,100.0000
1.3470,0.6539,-0.0037,-0.4067,0.0383,6.5832,-4.6105,100.0000
1.3640,0.6539,-0.0034,-0.4067,0.0394,6.5648,-4.5875,100.0000
1.3800,0.6539,-0.0029,-0.4067,0.0402,6.5350,-4.5931,100.0000
1.3970,0.6539,-0.0021,-0.4067,0.0408,6.5110,-4.5649,100.0000
1.4140,0.6539,-0.0011,-0.4067,0.0413,6.4719,-4.5519,100.0000
1.4300,0.6539,0.0000,-0.4067,0.0415,6.4261,-4.5333,100.0000
1.4470,0.6539,0.0015,-0.4067,0.0415,6.4037,-4.5063,100.0000
1.4630,0.6539,0.0030,-0.4067,0.0413,6.3421,-4.4824,100.0000
1.4790,0.6539,0.0048,-0.4067,0.0410,6.3118,-4.4573,100.0000
1.4950,0.6539,0.0068,-0.4067,0.0404,6.2697,-4.4311,100.0000
1.5120,0.6539,0.0090,-0.4067,0.0397,6.2412,-4.4081,100.0000
1.5290,0.6539,0.0115,-0.4067,0.0387,6.1804,-4.3747,100.0000
1.5460,0.6539,0.0142,-0.4067,0.0376,6.1333,-4.3445,100.0000
1.5630,0.6539,0.0170,-0.4067,0.0364,6.0857,-4.3137,100.0000
1.5800,0.6539,0.0199,-0.4067,0.0350,6.0376,-4.2824,100.0000
1.5960,0.6539,0.0229,-0.4067,0.0335,5.9673,-4.2404,100.0000
1.6120,0.6539,0.0259,-0.4067,0.0320,5.9435,-4.2206,100.0000
1.6280,0.6539,0.0291,-0.4067,0.0303,5.8975,-4.1902,100.0000
1.6450,0.6539,0.0326,-0.4067,0.0284,5.8746,-4.1719,100.0000
1.6620,0.6539,0.0362,-0.4067,0.0264,5.8019,-4.1267,100.0000
1.6790,0.6539,0.0399,-0.4067,0.0242,5.7525,-4.0935,100.0000
1.6960,0.6539,0.0437,-0.4067,0.0220,5.7029,-4.0602,100.0000
1.7120,0.6539,0.0474,-0.4067,0.0199,5.6253,-4.0105,100.0000
1.7280,0.6539,0.0511,-0.4067,0.0176,5.6066,-3.9952,100.0000
1.7440,-0.8424,0.0548,-0.2500,0.0153,-9.4033,-2.3968,100.0000
1.7610,-0.8424,0.0583,-0.2500,0.0129,-9.3981,-2.3845,100.0000
1.7770,-0.8424,0.0613,-0.2500,0.0105,-9.4529,-2.3207,100.0000
1.7930,-0.8424,0.0640,-0.2500,0.0082,-9.4148,-2.3131,100.0000
1.8090,-0.8424,0.0662,-0.2500,0.0058,-9.3927,-2.2884,100.0000
1.8260,-0.8424,0.0680,-0.2500,0.0033,-9.3464,-2.2818,100.0000
1.8430,-0.8424,0.0694,-0.2500,0.0009,-9.3239,-2.2398,100.0000
1.8600,-0.8424,0.0703,-0.2500,-0.0016,-9.2800,-2.2156,100.0000
1.8760,-0.8424,0.0707,-0.2500,-0.0039,-9.2385,-2.1737,100.0000
1.8920,-0.8424,0.0707,-0.2500,-0.0063,-9.1841,-2.1700,100.0000
1.9090,-0.8424,0.0703,-0.2500,-0.0087,-9.1336,-2.1653,100.0000
1.9250,-0.8424,0.0695,-0.2500,-0.0110,-9.0747,-2.1076,100.0000
1.9410,-0.8424,0.0684,-0.2500,-0.0133,-9.0237,-2.1045,100.0000
1.9580,-0.8424,0.0668,-0.2500,-0.0157,-8.9765,-2.1002,100.0000
1.9750,-0.8424,0.0649,-0.2500,-0.0180,-8.9076,-2.0615,100.0000
1.9910,-0.8424,0.0628,-0.2500,-0.0203,-8.8316,-2.0222,100.0000
2.0070,-0.8424,0.0604,-0.2500,-0.0225,-8.7868,-2.0194,100.0000
2.0240,-0.8424,0.0575,-0.2500,-0.0248,-8.7447,-2.0156,100.0000
2.0410,-0.8424,0.0544,-0.2500,-0.0271,-8.6625,-1.9782,100.0000
2.0580,-0.4604,0.0510,0.4800,-0.0293,-4.7768,5.3428,100.0000
2.0740,-0.4604,0.0477,0.4800,-0.0312,-4.6932,5.3659,100.0000
2.0910,-0.4604,0.0440,0.4800,-0.0329,-4.6913,5.3334,100.0000
2.1070,-0.4604,0.0405,0.4800,-0.0344,-4.5891,5.3499,100.0000
2.1240,-0.4604,0.0367,0.4800,-0.0356,-4.5960,5.3116,100.0000
2.1410,-0.4604,0.0328,0.4800,-0.0366,-4.5232,5.3019,100.0000
2.1580,-0.4604,0.0289,0.4800,-0.0372,-4.4777,5.2784,100.0000
2.1750,-0.4604,0.0250,0.4800,-0.0376,-4.4331,5.2523,100.0000
2.1900,-0.4604,0.0215,0.4800,-0.0378,-4.3273,5.2304,100.0000
2.2060,-0.4604,0.0177,0.4800,-0.0377,-4.3805,5.1968,100.0000
2.2230,-0.4604,0.0137,0.4800,-0.0374,-4.3387,5.1694,100.0000
2.2390,-0.4604,0.0099,0.4800,-0.0369,-4.2391,5.1344,100.0000
2.2550,-0.4604,0.0061,0.4800,-0.0362,-4.2291,5.1056,100.0000
2.2710,-0.4604,0.0023,0.4800,-0.0353,-4.1899,5.0738,100.0000
2.2870,-0.4604,-0.0015,0.4800,-0.0342,-4.1510,5.0412,100.0000
2.3030,-0.4604,-0.0053,0.4800,-0.0330,-4.1123,5.0081,100.0000
2.3200,0.3992,-0.0093,0.3800,-0.0315,4.4939,3.9836,100.0000
2.3360,0.3992,-0.0128,0.3800,-0.0300,4.5753,3.9290,100.0000
2.3520,0.3992,-0.0161,0.3800,-0.0283,4.5585,3.9084,100.0000
2.3680,0.3992,-0.0191,0.3800,-0.0266,4.5626,3.8774,100.0000
2.3840,0.3992,-0.0218,0.3800,-0.0247,4.5605,3.8468,100.0000
2.4000,0.3992,-0.0243,0.3800,-0.0228,4.5537,3.8163,100.0000
2.4170,0.3992,-0.0266,0.3800,-0.0206,4.5250,3.8003,100.0000
2.4330,0.3992,-0.0285,0.3800,-0.0186,4.5456,3.7382,100.0000
2.4490,0.3992,-0.0301,0.3800,-0.0164,4.5128,3.7238,100.0000
2.4650,0.3992,-0.0315,0.3800,-0.0142,4.4951,3.6937,100.0000
2.4810,0.3992,-0.0326,0.3800,-0.0119,4.4758,3.6636,100.0000
2.4970,0.3992,-0.0334,0.3800,-0.0095,4.4551,3.6336,100.0000
2.5140,0.7739,-0.0340,-0.2300,-0.0071,8.1739,-2.4793,100.0000
2.5300,0.7739,-0.0343,-0.2300,-0.0049,8.1532,-2.5350,100.0000
2.5460,0.7739,-0.0342,-0.2300,-0.0028,8.1139,-2.5288,100.0000
2.5630,0.7739,-0.0338,-0.2300,-0.0007,8.0751,-2.5194,100.0000
2.5790,0.7739,-0.0331,-0.2300,0.0011,8.0265,-2.5519,100.0000
2.5960,0.7739,-0.0321,-0.2300,0.0028,7.9894,-2.5220,100.0000
2.6120,0.7739,-0.0308,-0.2300,0.0043,7.9262,-2.5436,100.0000
2.6290,0.7739,-0.0291,-0.2300,0.0056,7.8947,-2.5142,100.0000
2.6460,0.7739,-0.0271,-0.2300,0.0068,7.8316,-2.5169,100.0000
2.6620,0.7739,-0.0250,-0.2300,0.0078,7.7623,-2.5162,100.0000
2.6790,0.7739,-0.0225,-0.2300,0.0086,7.7400,-2.4906,100.0000
2.6950,0.7739,-0.0199,-0.2300,0.0093,7.6492,-2.4925,100.0000
